a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	p_condition_id	q_block_no
167	48.jpg	48.wav	Rock	3	5	52.jpg	52.wav	Old_rock	3	4	0	0	0	0	1	2	7
165	9.jpg	9.wav	Rock	2	5	49.jpg	49.wav	Pop	2	5	0	0	0	1	1	4	7
160	52.jpg	52.wav	Old_rock	3	4	24.jpg	24.wav	Jazz	5	4	2	-2	0	0	0	9	7
163	31.jpg	31.wav	Folk	3	5	46.jpg	46.wav	Rock	4	5	1	-1	0	0	1	6	7
156	14.jpg	14.wav	Jazz	4	5	45.jpg	45.wav	Pop	4	5	0	0	1	0	0	13	7
146	52.jpg	52.wav	Old_rock	3	4	37.jpg	37.wav	Rock	1	5	2	2	1	1	0	23	7
162	49.jpg	49.wav	Pop	2	5	52.jpg	52.wav	Old_rock	3	4	1	-1	0	1	0	7	7
153	47.jpg	47.wav	Pop	3	5	52.jpg	52.wav	Old_rock	3	4	0	0	1	1	1	16	7
150	14.jpg	14.wav	Jazz	4	5	52.jpg	52.wav	Old_rock	3	4	1	1	1	1	0	19	7
168	51.jpg	51.wav	Pop	1	4	27.jpg	27.wav	Pop	1	5	0	0	0	0	0	1	7
192	11.jpg	11.wav	Pop	2	5	49.jpg	49.wav	Pop	2	5	0	0	0	0	0	1	8
189	48.jpg	48.wav	Rock	3	5	31.jpg	31.wav	Folk	3	5	0	0	0	1	1	4	8
169	8.jpg	8.wav	Pop	5	5	48.jpg	48.wav	Rock	3	5	2	2	1	1	1	24	8
174	19.jpg	19.wav	Rock	3	5	13.jpg	13.wav	Rock	2	4	1	1	1	1	0	19	8
187	11.jpg	11.wav	Pop	2	5	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	0	1	6	8
177	24.jpg	24.wav	Jazz	5	4	54.jpg	54.wav	Rap	5	4	0	0	1	1	1	16	8
173	20.jpg	20.wav	Regae	3	4	16.jpg	16.wav	Pop	2	5	1	1	1	1	1	20	8
182	37.jpg	37.wav	Rock	1	5	47.jpg	47.wav	Pop	3	5	2	-2	0	1	0	11	8
172	24.jpg	24.wav	Jazz	5	4	30.jpg	30.wav	Cl_ce	3	4	2	2	1	0	0	21	8
179	5.jpg	5.wav	Pop	2	5	38.jpg	38.wav	Jazz	2	5	0	0	1	0	1	14	8
178	48.jpg	48.wav	Rock	3	5	19.jpg	19.wav	Rock	3	5	0	0	1	1	0	15	8
176	24.jpg	24.wav	Jazz	5	4	46.jpg	46.wav	Rock	4	5	1	1	1	0	0	17	8
191	32.jpg	32.wav	Pop	5	5	8.jpg	8.wav	Pop	5	5	0	0	0	0	1	2	8
186	5.jpg	5.wav	Pop	2	5	20.jpg	20.wav	Regae	3	4	1	-1	0	1	0	7	8
185	9.jpg	9.wav	Rock	2	5	52.jpg	52.wav	Old_rock	3	4	1	-1	0	1	1	8	8
188	46.jpg	46.wav	Rock	4	5	54.jpg	54.wav	Rap	5	4	1	-1	0	0	0	5	8
171	23.jpg	23.wav	Pop	5	5	19.jpg	19.wav	Rock	3	5	2	2	1	0	1	22	8
