a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	b_metrical	c_location	t_before_onset	resp	result	rt
329	19.jpg	19.wav	Rock	3	5	44.jpg	44.wav	70_rock	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
330	32.jpg	32.wav	Pop	5	5	53.jpg	53.wav	Soul	4	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
331	54.jpg	54.wav	Rap	5	4	45.jpg	45.wav	Pop	4	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
332	53.jpg	53.wav	Soul	4	5	1.jpg	1.wav	Pop	3	4	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
333	36.jpg	36.wav	Pop	5	5	41.jpg	41.wav	Pop	5	5	0	0	1	1	0	NaN	NaN	NaN		NaN	NaN
334	1.jpg	1.wav	Pop	3	4	23.jpg	23.wav	Pop	5	5	2	-2	0	1	1	NaN	NaN	NaN		NaN	NaN
335	31.jpg	31.wav	Folk	3	5	50.jpg	50.wav	Rock	5	5	2	-2	0	0	1	NaN	NaN	NaN		NaN	NaN
336	49.jpg	49.wav	Pop	2	5	14.jpg	14.wav	Jazz	4	5	2	-2	0	0	0	NaN	NaN	NaN		NaN	NaN
337	51.jpg	51.wav	Pop	1	4	12.jpg	12.wav	Pop	2	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
338	37.jpg	37.wav	Rock	1	5	12.jpg	12.wav	Pop	2	5	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
339	49.jpg	49.wav	Pop	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
340	11.jpg	11.wav	Pop	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
341	36.jpg	36.wav	Pop	5	5	31.jpg	31.wav	Folk	3	5	2	2	1	1	1	NaN	NaN	NaN		NaN	NaN
